item_id,mp2,date,,
1,47,4/19/2019,2019/1/1,2019/9/1
2,57,8/3/2019,2019/1/1,2019/9/1
3,50,12/30/1899,2019/1/1,2019/9/1
4,36,12/30/1899,2019/1/1,2019/9/1
5,98,5/16/2019,2019/1/1,2019/9/1
6,26,4/10/2019,2019/1/1,2019/9/1
7,84,5/27/2019,2019/1/1,2019/9/1
8,95,6/14/2019,2019/1/1,2019/9/1
9,95,7/24/2019,2019/1/1,2019/9/1
10,82,4/5/2019,2019/1/1,2019/9/1
11,23,3/12/2019,2019/1/1,2019/9/1
12,96,7/8/2019,2019/1/1,2019/9/1
13,33,5/16/2019,2019/1/1,2019/9/1
14,41,2/21/2019,2019/1/1,2019/9/1
15,58,5/3/2019,2019/1/1,2019/9/1
16,41,1/25/2019,2019/1/1,2019/9/1
17,93,5/11/2019,2019/1/1,2019/9/1
18,25,12/30/1899,2019/1/1,2019/9/1
19,26,12/30/1899,2019/1/1,2019/9/1
20,18,6/30/2019,2019/1/1,2019/9/1
21,62,5/7/2019,2019/1/1,2019/9/1
22,84,1/29/2019,2019/1/1,2019/9/1
23,24,2/9/2019,2019/1/1,2019/9/1
24,66,8/19/2019,2019/1/1,2019/9/1
25,69,5/9/2019,2019/1/1,2019/9/1
26,84,2/7/2019,2019/1/1,2019/9/1
27,33,4/1/2019,2019/1/1,2019/9/1
28,80,2/18/2019,2019/1/1,2019/9/1
29,82,8/28/2019,2019/1/1,2019/9/1
30,27,4/11/2019,2019/1/1,2019/9/1
31,93,6/22/2019,2019/1/1,2019/9/1
32,24,4/27/2019,2019/1/1,2019/9/1
33,35,12/30/1899,2019/1/1,2019/9/1
34,85,12/30/1899,2019/1/1,2019/9/1
35,24,7/24/2019,2019/1/1,2019/9/1
36,76,7/12/2019,2019/1/1,2019/9/1
37,81,3/20/2019,2019/1/1,2019/9/1
38,29,5/30/2019,2019/1/1,2019/9/1
39,91,3/8/2019,2019/1/1,2019/9/1
40,69,2/23/2019,2019/1/1,2019/9/1
41,54,7/8/2019,2019/1/1,2019/9/1
42,37,7/27/2019,2019/1/1,2019/9/1
43,96,4/12/2019,2019/1/1,2019/9/1
44,45,6/3/2019,2019/1/1,2019/9/1
45,44,8/27/2019,2019/1/1,2019/9/1
46,91,5/7/2019,2019/1/1,2019/9/1
47,12,3/12/2019,2019/1/1,2019/9/1
48,88,12/30/1899,2019/1/1,2019/9/1
49,58,12/30/1899,2019/1/1,2019/9/1
50,61,2/28/2019,2019/1/1,2019/9/1
51,73,3/10/2019,2019/1/1,2019/9/1
52,66,4/10/2019,2019/1/1,2019/9/1
53,11,1/23/2019,2019/1/1,2019/9/1
54,46,5/13/2019,2019/1/1,2019/9/1
55,21,2/15/2019,2019/1/1,2019/9/1
56,98,4/3/2019,2019/1/1,2019/9/1
57,23,3/8/2019,2019/1/1,2019/9/1
58,28,6/17/2019,2019/1/1,2019/9/1
59,23,8/15/2019,2019/1/1,2019/9/1
60,31,7/4/2019,2019/1/1,2019/9/1
61,61,1/4/2019,2019/1/1,2019/9/1
62,36,5/28/2019,2019/1/1,2019/9/1
63,97,12/30/1899,2019/1/1,2019/9/1
64,95,12/30/1899,2019/1/1,2019/9/1
65,88,3/7/2019,2019/1/1,2019/9/1
66,50,4/13/2019,2019/1/1,2019/9/1
67,54,5/27/2019,2019/1/1,2019/9/1
68,12,8/6/2019,2019/1/1,2019/9/1
69,75,7/4/2019,2019/1/1,2019/9/1
70,97,1/8/2019,2019/1/1,2019/9/1
71,73,4/13/2019,2019/1/1,2019/9/1
72,26,4/18/2019,2019/1/1,2019/9/1
73,26,4/30/2019,2019/1/1,2019/9/1
74,26,6/22/2019,2019/1/1,2019/9/1
75,20,5/2/2019,2019/1/1,2019/9/1
76,95,2/2/2019,2019/1/1,2019/9/1
77,56,6/13/2019,2019/1/1,2019/9/1
78,32,12/30/1899,2019/1/1,2019/9/1
79,78,12/30/1899,2019/1/1,2019/9/1
80,18,7/6/2019,2019/1/1,2019/9/1
81,18,8/21/2019,2019/1/1,2019/9/1
82,11,3/11/2019,2019/1/1,2019/9/1
83,94,2/20/2019,2019/1/1,2019/9/1
84,94,7/26/2019,2019/1/1,2019/9/1
85,45,8/15/2019,2019/1/1,2019/9/1
86,13,5/26/2019,2019/1/1,2019/9/1
87,48,4/26/2019,2019/1/1,2019/9/1
88,93,5/21/2019,2019/1/1,2019/9/1
89,73,6/5/2019,2019/1/1,2019/9/1
90,57,1/1/2019,2019/1/1,2019/9/1
91,17,2019-02-03T01:58:13,2019/1/1,2019/9/1
92,78,8/2/2019,2019/1/1,2019/9/1
93,44,7/20/2019,2019/1/1,2019/9/1
94,17,8/24/2019,2019/1/1,2019/9/1
95,17,6/24/2019,2019/1/1,2019/9/1
96,74,5/16/2019,2019/1/1,2019/9/1
97,82,1/8/2019,2019/1/1,2019/9/1
98,100,4/15/2019,2019/1/1,2019/9/1
99,55,8/23/2019,2019/1/1,2019/9/1
